nome,cpf,voo,origem,destino,horario
Pedro Souza,19125822521,ED205,Recife,Brasília,10:45
caio gomes,02222287667,ED205,Recife,Brasília,10:45
Alber,92356787630,ED110,Florianópolis,Rio de Janeiro,14:15
Alberman Santos ,09125822518,ED110,Florianópolis,Rio de Janeiro,14:15
Lucas,00011122233,ED110,Florianópolis,Rio de Janeiro,14:15
Joao Macedo,00022233344,ED178,Curitiba,Fortaleza,16:20
Junior Nascimento,22233344455,ED178,Curitiba,Fortaleza,16:20
Joao Lucas,00022233344,ED099,Belo Horizonte,Vitória,06:50
Caio silva,22233344455,ED099,Belo Horizonte,Vitória,06:50
Joao Pedro,22233344455,ED110,Florianópolis,Rio de Janeiro,14:15
Bruno Souza,11122244466,ED178,Curitiba,Fortaleza,16:20
Cibele Vale Sacramento,77777777780,ED300,Porto Alegre,Salvador,09:35
